NAME	NES_6H	FDR_6H	NES_24H	FDR_24H	NES_48H	FDR_48H	NES_96H	FDR_96H
REACTOME_RUNX3_REGULATES_WNT_SIGNALING	1.521294	0.6739182	0.9611682	1.0	0.7292683	1.0	1.2614423	0.41479644
REACTOME_UREA_CYCLE	1.5193304	0.6575167	1.5450389	0.66397494	1.7327143	0.04885545	1.420361	0.30194408
REACTOME_RA_BIOSYNTHESIS_PATHWAY	1.509113	0.68798214	1.5196867	0.6211667	1.4538238	0.4031849	1.3836846	0.3388981
REACTOME_ER_PHAGOSOME_PATHWAY	1.4974971	0.727087	1.5864569	0.7530891	1.5060714	0.32142952	1.7469664	0.04435639
REACTOME_SIGNALING_BY_RETINOIC_ACID	1.4876678	0.7571076	1.5643251	0.64504045	1.4569348	0.40400326	1.1492069	0.5295396
REACTOME_DAP12_INTERACTIONS	1.4809961	0.7698471	1.3835226	0.9400998	1.3124263	0.5680246	1.2551687	0.42389536
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	1.4779203	0.7620639	1.3754144	0.9100222	1.216177	0.6906545	1.0655557	0.6225385
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	1.454661	0.87763804	1.0977693	0.99060404	1.2179487	0.69158036	1.2893401	0.39449674
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	1.4538054	0.85551137	1.4567829	0.7740487	1.2905787	0.6097891	1.0141666	0.69615597
REACTOME_SODIUM_PROTON_EXCHANGERS	1.4495411	0.85601026	1.394232	0.9398303	1.01249	0.9164629	1.3441769	0.365757
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	1.4480054	0.8400551	1.0107621	1.0	0.8070111	0.9895973	1.2254905	0.4554869
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	1.4478242	0.8171242	1.1534408	0.93638927	1.3168668	0.57712805	0.67139786	0.985011
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	1.4450401	0.81060195	1.5457917	0.6974085	1.4635606	0.39859426	1.1478498	0.5298169
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	1.4283029	0.88724846	1.8053414	0.1352512	1.7976894	0.01960762	1.781586	0.034038488
REACTOME_CS_DS_DEGRADATION	1.4277575	0.86718744	1.3374412	0.8973388	1.4002517	0.4756315	1.4981278	0.2192852
REACTOME_SEROTONIN_RECEPTORS	1.4241326	0.86647224	1.3190329	0.85204726	1.3433161	0.55173004	1.3511797	0.36662823
REACTOME_FATTY_ACID_METABOLISM	1.4147912	0.89999205	1.2419494	0.98133194	1.1400766	0.81252706	0.91171944	0.8267327
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.4130586	0.88809806	1.2336988	0.96789	1.4048487	0.46930614	1.4223169	0.30174294
REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS	1.4099891	0.885072	0.8311749	1.0	1.0033157	0.91522837	1.4734086	0.24318856
REACTOME_DISSOLUTION_OF_FIBRIN_CLOT	1.4023448	0.90930337	1.6933836	0.36036944	1.6324741	0.14634526	1.9510146	0.004674998
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	1.394848	0.933203	1.4266744	0.8543734	1.4227238	0.44724423	1.2171282	0.46083182
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	1.3888537	0.9481334	1.4249607	0.8461364	1.1384941	0.8110326	0.8913665	0.8488788
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING	1.3852034	0.9495367	1.1081682	0.9776298	0.6412182	1.0	-0.8905753	0.83998436
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	1.3805568	0.9569302	1.2031828	0.95867467	1.2353047	0.67458737	1.1631805	0.5165909
REACTOME_SEMAPHORIN_INTERACTIONS	1.3769904	0.9580712	1.2736979	0.9021313	1.3993818	0.47365916	1.9846276	0.0034995477
REACTOME_OAS_ANTIVIRAL_RESPONSE	1.3672653	0.99611294	1.1714789	0.9503542	0.93641704	0.9931244	0.65145254	0.99065715
REACTOME_ECM_PROTEOGLYCANS	1.3667809	0.97902966	1.3488762	0.89131343	1.8329968	0.014920723	2.058492	0.0009998226
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	1.3640969	0.975598	0.62901086	1.0	1.225363	0.6873555	1.5613303	0.15615432
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1.3636692	0.959365	1.474574	0.7685273	1.2048988	0.71171564	0.9499204	0.779672
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	1.3482064	1.0	1.5123633	0.5754049	1.3114412	0.5674774	1.574978	0.15204579
REACTOME_SENSORY_PERCEPTION_OF_TASTE	1.3473865	1.0	1.5196092	0.59775186	1.3329922	0.5619626	1.396206	0.32559168
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	1.3444531	1.0	1.5363966	0.62392044	1.4356766	0.4224463	1.6441319	0.10088452
REACTOME_KERATAN_SULFATE_DEGRADATION	1.334419	1.0	-0.667148	1.0	0.8146372	0.99506754	0.8972329	0.8440421
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	1.3326902	1.0	1.1819298	0.95029056	0.81252724	0.99658066	0.66817194	0.9862553
REACTOME_NEURONAL_SYSTEM	1.331996	1.0	1.241239	0.96886814	1.4348869	0.41985306	1.5725641	0.15193886
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	1.3315538	1.0	1.431575	0.8411143	1.2697598	0.6209497	1.2842766	0.39787537
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	1.3299564	1.0	1.0167655	1.0	0.875996	0.9862827	1.0115471	0.69932085
REACTOME_GLYCOGEN_METABOLISM	1.3279724	1.0	1.2580392	0.9740363	1.0328512	0.92838275	0.8104503	0.9326566
REACTOME_GAP_JUNCTION_ASSEMBLY	1.3269742	0.9961454	1.5487378	0.7176886	1.1993059	0.7239193	1.1563922	0.52325183
REACTOME_EICOSANOIDS	1.3268785	0.980841	1.1602185	0.9441788	1.0726384	0.8601077	1.0684427	0.62436813
REACTOME_PHASE_3_RAPID_REPOLARISATION	1.3229884	0.9870755	1.2528236	0.9670351	1.110641	0.83755696	1.1212986	0.55339175
REACTOME_ACTIVATION_OF_SMO	1.3140172	1.0	1.2329018	0.9568699	1.2498842	0.64562964	1.2765731	0.40258637
REACTOME_CREATINE_METABOLISM	1.3132871	1.0	1.3807406	0.9076557	1.1834359	0.7401169	1.294462	0.39559174
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	1.3124537	1.0	0.90177894	1.0	0.86828953	0.9905308	-0.8419854	0.8979634
REACTOME_VITAMINS	1.3118113	0.9888913	1.3292122	0.8560952	1.3227055	0.57308894	1.324583	0.37939945
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	1.3112842	0.97735447	-0.8544227	1.0	0.88072664	0.978898	1.5646634	0.15471232
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	1.2908616	1.0	1.3274949	0.8454415	1.3338315	0.5680661	1.2402766	0.44173115
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	1.2899551	1.0	1.3177967	0.84911287	1.2753606	0.6127828	1.3053336	0.39400813
REACTOME_REGULATION_OF_CDH11_EXPRESSION_AND_FUNCTION	1.2883753	1.0	1.3055485	0.832507	1.2766167	0.6122023	1.2678005	0.4098337
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1.288051	1.0	1.3669848	0.9032473	1.0331346	0.93053526	1.0344957	0.6624577
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.2812121	1.0	1.3830957	0.92542934	1.857631	0.013382509	2.0023053	0.0026560423
REACTOME_PTK6_REGULATES_PROTEINS_INVOLVED_IN_RNA_PROCESSING	1.2810951	1.0	-1.228095	0.7795812	-0.6880109	0.9585446	0.548517	0.99306226
REACTOME_HEME_SIGNALING	1.2802942	1.0	1.1950547	0.9396205	0.74472386	1.0	1.1464473	0.5301855
REACTOME_SIGNALING_BY_GPCR	1.2790902	1.0	1.5297765	0.6096109	1.716781	0.057127494	1.8783935	0.011824387
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NUDT_PROTEINS	1.2789592	1.0	1.3745878	0.89995223	1.2668782	0.6271615	0.84335583	0.90240663
REACTOME_PREDNISONE_ADME	1.2714522	1.0	1.3228703	0.85075396	1.2402842	0.6608284	1.200176	0.48102516
REACTOME_TRANSPORT_OF_FATTY_ACIDS	1.2677349	1.0	0.9153287	1.0	-1.2691075	0.41228485	-1.3021569	0.2979586
REACTOME_PROTEIN_REPAIR	1.2641686	1.0	0.63293755	1.0	0.8989123	0.9745392	0.935055	0.80394596
REACTOME_TACHYKININ_RECEPTORS_BIND_TACHYKININS	1.2637811	1.0	1.1022125	0.97819525	-0.8844711	0.85115975	-1.3116846	0.2898247
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	1.2617812	1.0	0.8512807	1.0	1.2579898	0.63579327	1.4559586	0.2611396
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.2580631	1.0	1.3826561	0.91159886	1.5343951	0.27116096	1.8631573	0.014460277
REACTOME_INTERLEUKIN_7_SIGNALING	1.2555814	1.0	1.0859681	1.0	1.2172588	0.6903962	1.4271563	0.297589
REACTOME_DIGESTION	1.250643	1.0	1.3542947	0.88491094	1.284497	0.62366253	0.8333901	0.9103115
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	1.245112	1.0	1.6251081	0.77938247	1.5752546	0.24511953	1.2871498	0.39767316
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	1.2419688	1.0	1.1556643	0.94233924	1.1161021	0.8325673	0.8781106	0.8672271
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	1.2387565	1.0	1.1069696	0.9777427	0.94425654	0.98155546	1.2918704	0.3966376
REACTOME_THYROXINE_BIOSYNTHESIS	1.2301283	1.0	1.3362048	0.89278513	1.4223344	0.44314685	1.472297	0.24152035
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2	1.2282209	1.0	0.6897849	1.0	-0.6828972	0.9600242	0.68723875	0.976644
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING	1.2271396	1.0	0.86663383	1.0	-1.3035167	0.3706678	-1.3411064	0.26225013
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	1.2236153	1.0	1.1923455	0.92809427	1.3742502	0.5148475	1.3563107	0.36451763
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	1.2232025	1.0	-0.8702284	1.0	0.8691651	0.991014	0.61320734	0.9883791
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	1.2219365	1.0	-1.2487092	0.7592886	0.9082857	0.9772801	1.2338443	0.4442663
REACTOME_SURFACTANT_METABOLISM	1.2218275	1.0	1.4329208	0.8525716	1.4084182	0.4617714	1.8301715	0.019827042
REACTOME_REGULATION_BY_C_FLIP	1.2217752	1.0	1.2389289	0.96484834	1.2227309	0.67861027	1.3230313	0.3778257
REACTOME_DOPAMINE_RECEPTORS	1.2214093	1.0	1.2240698	0.93540573	1.0321369	0.9275447	0.82390547	0.9213577
REACTOME_COHESIN_LOADING_ONTO_CHROMATIN	1.220765	1.0	0.4724582	1.0	-0.63023525	0.97072184	-0.98596156	0.7018157
REACTOME_CDC42_GTPASE_CYCLE	1.2186965	1.0	0.93402916	1.0	1.3442202	0.553067	1.5532745	0.15815686
REACTOME_CA2_ACTIVATED_K_CHANNELS	1.2166759	1.0	0.7219982	1.0	1.435771	0.4276724	1.1574553	0.52369225
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	1.2161155	1.0	1.0582947	0.99893415	1.4858557	0.35762596	1.6275237	0.111510776
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING	1.2158175	1.0	-0.82529545	1.0	-1.083402	0.6273481	-0.775313	0.9577764
REACTOME_REGULATION_OF_INSULIN_SECRETION	1.212424	1.0	1.1588194	0.944663	1.1601659	0.78164464	1.2936013	0.39594314
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	1.2121778	1.0	1.2859519	0.86498153	1.1437073	0.8070541	1.2720325	0.40658832
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	1.2070208	1.0	1.2358099	0.9726166	1.3332944	0.56543267	0.7698917	0.9398051
REACTOME_PURINE_CATABOLISM	1.2061247	1.0	1.4549229	0.76505464	1.133286	0.8218889	0.8612957	0.8905989
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	1.202498	1.0	1.2262367	0.94574153	1.2802012	0.6150699	1.4646751	0.25010616
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	1.2014638	1.0	0.7541125	1.0	0.5760621	1.0	-0.8343119	0.90535444
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1.2000431	1.0	1.3293692	0.8655777	0.8339263	0.9967926	-0.95581305	0.75043875
REACTOME_ION_HOMEOSTASIS	1.1967654	1.0	1.0857965	1.0	0.92520934	0.9895816	1.2834983	0.39806262
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ASSOCIATION_WITH_CO_FACTORS	1.1933173	1.0	1.0614372	1.0	-1.0807141	0.62764335	1.0462613	0.6483028
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1.1922288	1.0	1.1097958	0.9893649	1.1031667	0.84925526	1.1040518	0.5755523
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	1.1889184	1.0	1.2415348	0.97535866	1.4993957	0.33100173	1.1156822	0.55911404
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE	1.1866934	1.0	1.3961837	0.94559497	1.0871794	0.8568219	0.8702726	0.881795
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	1.1849009	1.0	1.0810677	1.0	1.0809894	0.8549316	1.3125201	0.3861908
REACTOME_POST_TRANSCRIPTIONAL_SILENCING_BY_SMALL_RNAS	1.1682411	1.0	1.1935263	0.9287029	1.0430021	0.9095465	0.64867806	0.98841774
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	1.1624426	1.0	1.3936527	0.92491317	1.5246795	0.28208977	1.1113039	0.5661044
REACTOME_ION_CHANNEL_TRANSPORT	1.158582	1.0	-1.006763	0.9275442	0.8470225	1.0	1.2237574	0.45500296
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4	1.1514444	1.0	1.1981119	0.9380692	1.0423331	0.9085738	-1.0398858	0.6191132
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	1.1498642	1.0	1.0562195	0.9947392	0.8496116	1.0	1.2437841	0.43696296
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	1.1453716	1.0	0.98344207	1.0	1.0454271	0.9081508	1.3904183	0.3339629
REACTOME_RHOBTB3_ATPASE_CYCLE	1.1431834	1.0	0.93171513	1.0	-0.46169177	0.9910229	0.650665	0.9884032
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	1.1409063	1.0	1.2275512	0.9534148	1.469344	0.390442	0.8463668	0.8982603
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	1.140878	1.0	1.3772174	0.9142831	0.9461921	0.97933275	-0.93697643	0.78366697
REACTOME_INTERLEUKIN_15_SIGNALING	1.1380529	1.0	1.276315	0.8970488	0.8942615	0.9753536	0.8202654	0.92474383
REACTOME_PI_3K_CASCADE_FGFR4	1.136919	1.0	1.1991994	0.9453337	1.1292776	0.82862234	-1.0259813	0.6414157
REACTOME_PI_3K_CASCADE_FGFR3	1.1356771	1.0	1.13128	0.9664055	1.1893815	0.723284	-1.0086364	0.671491
REACTOME_OPSINS	1.1353247	1.0	1.2564209	0.96535504	1.1168532	0.83997405	1.2684413	0.4099239
REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH	1.1284814	1.0	0.95468915	1.0	0.84667766	1.0	-0.8428994	0.90312064
REACTOME_TRANSPORT_OF_RCBL_WITHIN_THE_BODY	1.1278046	1.0	1.3013575	0.8369196	1.3497472	0.5422595	1.6093208	0.12511225
REACTOME_STIMULI_SENSING_CHANNELS	1.1259006	1.0	-1.055986	0.91024584	0.8973621	0.97561604	1.1380681	0.5378395
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	1.1244688	1.0	-0.97433484	0.95283604	0.8197367	1.0	1.6425757	0.10106383
REACTOME_DIGESTION_AND_ABSORPTION	1.1226357	1.0	1.4461871	0.8039524	1.3323058	0.5600435	0.7043589	0.9740588
REACTOME_INTERLEUKIN_9_SIGNALING	1.1200709	1.0	1.2262856	0.9525141	1.0127707	0.9183899	1.0264299	0.6724034
REACTOME_SHC_MEDIATED_CASCADE_FGFR3	1.1186259	1.0	1.0599021	1.0	1.0858779	0.8578725	-1.0983245	0.546747
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	1.1162405	1.0	1.1345631	0.9583407	1.0679574	0.8685785	1.5162718	0.19765632
REACTOME_INTERLEUKIN_21_SIGNALING	1.1158327	1.0	1.2290703	0.95347327	1.0178455	0.92628396	1.0323852	0.66588646
REACTOME_SHC_MEDIATED_CASCADE_FGFR4	1.1146574	1.0	1.1307383	0.9591215	1.0549834	0.8998418	-1.1174054	0.5190973
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	1.1130558	1.0	1.1286933	0.9578099	1.4553866	0.40356997	0.7143911	0.9692149
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	1.1088661	1.0	0.87679344	1.0	1.164909	0.772314	0.967553	0.75914353
REACTOME_CARDIAC_CONDUCTION	1.1068757	1.0	1.1366293	0.959676	1.1549888	0.7822117	1.4730077	0.24203986
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	1.1044867	1.0	-0.6677849	1.0	0.6707744	1.0	1.3808844	0.3410876
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	1.1026081	1.0	1.3146998	0.83779544	1.2299417	0.67865133	1.3817507	0.34112573
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	1.102106	1.0	0.94271135	1.0	0.81068736	0.9935401	0.8361159	0.91138095
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	1.1010224	1.0	0.8668824	1.0	-1.1189101	0.56662357	0.99946636	0.70981205
REACTOME_LDL_CLEARANCE	1.1005398	1.0	0.9810166	1.0	0.9738816	0.94729424	0.81815165	0.9269257
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	1.0992501	1.0	0.5468325	1.0	-0.7200417	0.9545279	-1.3065813	0.29500136
REACTOME_NUCLEOTIDE_CATABOLISM	1.0955344	1.0	1.3729773	0.8950166	1.0471189	0.91202116	0.7569144	0.94473064
REACTOME_MET_INTERACTS_WITH_TNS_PROTEINS	1.0935191	1.0	0.88705605	1.0	0.541287	1.0	1.1321341	0.54154587
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	1.093159	1.0	1.1400093	0.9511972	1.3860649	0.4914732	2.1584573	0.0001472427
REACTOME_UTILIZATION_OF_KETONE_BODIES	1.0914644	1.0	1.129455	0.9595042	-0.54159904	0.98102224	-0.4254435	1.0
REACTOME_RET_SIGNALING	1.0905343	1.0	1.3128465	0.83836514	1.5931752	0.22543679	1.7827783	0.03431427
REACTOME_CREB3_FACTORS_ACTIVATE_GENES	1.0896963	1.0	-1.167621	0.8296265	-1.0920066	0.6179808	0.9253539	0.813466
REACTOME_CA2_PATHWAY	1.089492	1.0	1.0294443	0.9975912	1.0028312	0.91390806	1.3417397	0.36745164
REACTOME_SYNTHESIS_OF_PC	1.0892795	1.0	1.3351754	0.8651056	1.082402	0.8565312	1.1804332	0.49925703
REACTOME_ZINC_TRANSPORTERS	1.0881643	1.0	1.3318285	0.8621805	1.0949104	0.85398674	1.2048141	0.4778327
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1.08713	1.0	0.78496176	1.0	1.4218712	0.43949208	1.2024014	0.48037672
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1.0868	1.0	-0.76870775	1.0	1.3195105	0.571742	0.8050538	0.93116397
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	1.0790253	1.0	1.2995409	0.8378064	1.3405392	0.5525767	1.2997411	0.3982449
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	1.0759255	1.0	-0.79507834	1.0	0.77201945	1.0	1.4983274	0.22080341
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	1.0754721	1.0	1.3560042	0.90088165	1.4489075	0.39784557	1.3044014	0.394478
REACTOME_IRON_UPTAKE_AND_TRANSPORT	1.0718392	1.0	1.1576446	0.94434273	0.9888505	0.93092203	1.3716408	0.349604
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	1.0685216	1.0	1.0572963	0.9947366	1.0392443	0.9149501	-0.97183657	0.72920525
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION	1.0684681	1.0	0.70720583	1.0	1.1316073	0.8241378	1.101948	0.5775227
REACTOME_SENSORY_PERCEPTION	1.0650033	1.0	1.2292968	0.95967376	1.5653405	0.2592139	1.6559051	0.097785644
REACTOME_TRAIL_SIGNALING	1.063792	1.0	1.2347411	0.9703206	1.0772771	0.85464567	1.0952754	0.58422524
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	1.0622202	1.0	-0.984204	0.9461441	0.8992676	0.9783968	1.5410426	0.17098813
REACTOME_L1CAM_INTERACTIONS	1.0608294	1.0	1.023027	1.0	1.0746247	0.85983133	1.5954722	0.13765816
REACTOME_INSULIN_RECEPTOR_RECYCLING	1.0581064	1.0	0.5396957	1.0	0.5423401	1.0	1.5280981	0.1873533
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	1.0524092	1.0	1.0666637	1.0	1.1275208	0.831146	-0.9992216	0.68639964
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	1.0522637	1.0	1.1447108	0.9469312	1.0899023	0.85433203	0.94881696	0.7806484
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	1.0508198	1.0	1.0322458	1.0	1.2325335	0.6769366	1.2381043	0.44221625
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS	1.0477942	1.0	1.3166296	0.8459133	1.2782127	0.61037475	1.4906716	0.22874841
REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES	1.0464115	1.0	-0.53043	1.0	-1.0079331	0.7172969	-1.1471629	0.48134583
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	1.045103	1.0	0.56701726	1.0	0.4329064	1.0	0.6317388	0.991323
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	1.0420542	1.0	0.8479349	1.0	1.1220492	0.83943766	1.1266254	0.5483467
