NAME	NES_6H	FDR_6H	NES_24H	FDR_24H
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1.6054618	0.49165374	1.4872718	0.3726814
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	1.6013455	0.48502707	1.2286012	0.80131716
REACTOME_LIPID_PARTICLE_ORGANIZATION	1.5950608	0.48919	1.1611686	0.87047124
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	1.575913	0.5528885	1.6085427	0.20565619
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	1.5745375	0.5351899	1.5127112	0.30742174
REACTOME_KINESINS	1.5647496	0.5578769	1.1227335	0.9002897
REACTOME_GPCR_LIGAND_BINDING	1.554222	0.584006	1.7409377	0.059358165
REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	1.5493035	0.58518046	-1.4404864	0.2857137
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS	1.5485038	0.5673075	1.3734852	0.5369926
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	1.5390676	0.5910985	-1.0575129	0.64932793
REACTOME_THE_RETINOID_CYCLE_IN_CONES_DAYLIGHT_VISION	1.5325878	0.6010623	0.7805187	1.0
REACTOME_CA_DEPENDENT_EVENTS	1.5315162	0.5860866	1.3372908	0.60665846
REACTOME_FATTY_ACID_METABOLISM	1.5261655	0.5913837	1.3827571	0.52456415
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	1.5211492	0.59628206	0.994546	1.0
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	1.5127789	0.6169224	0.9288029	1.0
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	1.505742	0.63188505	1.2065564	0.80771583
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	1.5008893	0.637047	-1.1202403	0.5934765
REACTOME_ACTIVATION_OF_SMO	1.4960016	0.6426204	1.0670837	0.9824578
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	1.4869571	0.66892266	0.9960186	1.0
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	1.4834948	0.66786885	1.0981028	0.94221604
REACTOME_MISCELLANEOUS_SUBSTRATES	1.474889	0.69355685	1.2213869	0.8009898
REACTOME_LEUKOTRIENE_RECEPTORS	1.4712487	0.69447285	1.4163796	0.47765175
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	1.4597814	0.73527765	0.75131804	1.0
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	1.4587848	0.72292995	0.9739907	1.0
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	1.4569288	0.7153361	1.6723973	0.11076649
REACTOME_ORGANIC_ANION_TRANSPORTERS	1.4538904	0.7143979	1.0649775	0.98000187
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1.45018	0.7170638	1.4792762	0.36603358
REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING	1.4489241	0.7074295	1.3363712	0.60096025
REACTOME_PI_3K_CASCADE_FGFR2	1.448572	0.69408035	-1.1905951	0.5318551
REACTOME_SIGNALING_BY_GPCR	1.4432865	0.70504016	1.6061985	0.2042348
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	1.4414622	0.6992811	-1.1285753	0.5935696
REACTOME_SEROTONIN_RECEPTORS	1.4369817	0.70669013	1.3122077	0.6545379
REACTOME_DIGESTION	1.4297324	0.7275298	1.4243008	0.4571867
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	1.4295273	0.71444106	1.2367936	0.8213973
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING	1.4245623	0.72457093	-1.1254516	0.593514
REACTOME_IRS_MEDIATED_SIGNALLING	1.4239951	0.71376103	0.7562469	1.0
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	1.4195584	0.7216991	1.129032	0.8874687
REACTOME_OTHER_INTERLEUKIN_SIGNALING	1.4188076	0.7123519	1.0837368	0.9567736
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	1.4183344	0.701954	1.1520871	0.8684499
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4	1.4175746	0.6931414	0.99381727	1.0
REACTOME_ECM_PROTEOGLYCANS	1.4103173	0.714188	1.5884255	0.24036846
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	1.4089773	0.70812553	1.2504402	0.81046325
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR1	1.40859	0.69824266	-1.3935213	0.3426084
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	1.4082009	0.6887079	-1.5214864	0.22194247
REACTOME_RUNX3_REGULATES_NOTCH_SIGNALING	1.4059734	0.6874775	1.1385334	0.8872094
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	1.4048412	0.6818295	-1.243841	0.46969408
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS	1.40408	0.6745956	1.4338598	0.4525374
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	1.4027007	0.67041796	1.0418984	1.0
REACTOME_SIGNALING_BY_BMP	1.3860799	0.73294204	1.5276048	0.3198784
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN	1.3859448	0.72273815	1.4853593	0.3734429
REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	1.3853981	0.7146813	0.74171317	1.0
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	1.3853657	0.7045846	1.3611302	0.56724864
REACTOME_PI_3K_CASCADE_FGFR1	1.3834249	0.7028719	-1.4649495	0.2611229
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	1.3799335	0.7081751	-1.4375539	0.28635585
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS	1.3797194	0.6994223	0.77544916	1.0
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING	1.374546	0.7118042	1.1064255	0.925791
REACTOME_PI_3K_CASCADE_FGFR4	1.3699387	0.72154653	1.0335661	1.0
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	1.3663433	0.727349	1.3432168	0.6016195
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	1.3649687	0.72387344	0.72674114	1.0
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	1.3619447	0.7275333	0.6840502	1.0
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	1.3611292	0.72178394	0.7838149	1.0
REACTOME_SHC_MEDIATED_CASCADE_FGFR2	1.3588197	0.72244936	-1.3088591	0.42354345
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.3513505	0.7447669	1.5576462	0.26818284
REACTOME_RELAXIN_RECEPTORS	1.3512663	0.7360564	1.3553958	0.5711307
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	1.3491062	0.73615384	0.71111023	1.0
REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY	1.3478127	0.7327644	1.7610223	0.04957873
REACTOME_HATS_ACETYLATE_HISTONES	1.3430438	0.74405307	0.9343521	1.0
REACTOME_THYROXINE_BIOSYNTHESIS	1.3390439	0.7521939	1.3372298	0.60213715
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	1.3365295	0.75396156	1.2318255	0.828756
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	1.3342032	0.7553709	0.8621153	1.0
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	1.3282279	0.7722544	-1.194607	0.52788204
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	1.3272951	0.7677406	1.6701515	0.108936876
REACTOME_RHO_GTPASE_EFFECTORS	1.3267412	0.76161146	-0.89883447	0.8032949
REACTOME_BICARBONATE_TRANSPORTERS	1.319093	0.78565717	1.1897905	0.8156534
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	1.3184241	0.7801089	1.4434222	0.44918808
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	1.3160638	0.78181106	-0.84694344	0.84943587
REACTOME_SEMAPHORIN_INTERACTIONS	1.314996	0.77805907	1.2188396	0.7989334
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	1.3144377	0.7723422	-1.1811639	0.5337454
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	1.308699	0.7881329	1.4059126	0.4876601
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	1.3086544	0.7802655	1.5509611	0.2832866
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.3078538	0.77578413	0.84990585	1.0
REACTOME_MET_ACTIVATES_PTK2_SIGNALING	1.3067604	0.7726173	1.6503038	0.13381352
REACTOME_SODIUM_CALCIUM_EXCHANGERS	1.3066118	0.76559085	0.8254574	1.0
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	1.3058201	0.76127136	1.3211368	0.64544326
REACTOME_RA_BIOSYNTHESIS_PATHWAY	1.3048724	0.7577059	0.9395473	1.0
REACTOME_ESTROGEN_BIOSYNTHESIS	1.3021219	0.76137286	1.3953196	0.49433038
REACTOME_EPH_EPHRIN_SIGNALING	1.300934	0.7588123	1.3898104	0.5111392
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	1.2947875	0.7759697	1.4688723	0.38649863
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	1.2885618	0.7938315	-0.9978679	0.7275004
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	1.28828	0.78762174	1.3549713	0.56799304
REACTOME_SENSORY_PERCEPTION	1.2866408	0.78680223	1.4834933	0.3680113
REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION	1.280252	0.8054318	1.2139971	0.8021076
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	1.2790052	0.8032396	1.4850338	0.36849317
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	1.2788267	0.79681486	0.64090896	1.0
REACTOME_PKR_MEDIATED_SIGNALING	1.2761444	0.8005788	0.866254	1.0
REACTOME_SHC_MEDIATED_CASCADE_FGFR1	1.2748001	0.79887336	-1.5803404	0.17567022
REACTOME_PHOSPHATE_BOND_HYDROLYSIS_BY_NTPDASE_PROTEINS	1.2741787	0.7943726	1.0292898	1.0
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	1.2737063	0.789412	1.5163528	0.3126579
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	1.2726383	0.78685486	1.1298699	0.9016369
REACTOME_SIGNALING_BY_PDGF	1.2714931	0.78458846	1.3990027	0.48980042
REACTOME_CD28_CO_STIMULATION	1.26976	0.7847674	1.7355189	0.060086988
REACTOME_MUSCARINIC_ACETYLCHOLINE_RECEPTORS	1.2658609	0.79347533	-1.2133704	0.50429356
REACTOME_SEROTONIN_AND_MELATONIN_BIOSYNTHESIS	1.2646419	0.79156905	1.0319014	1.0
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	1.2644858	0.7856878	1.1305162	0.90633196
REACTOME_RHO_GTPASES_ACTIVATE_CIT	1.2632221	0.78408957	-0.9022967	0.80294734
REACTOME_SHC_MEDIATED_CASCADE_FGFR4	1.2619314	0.78259975	0.9650599	1.0
REACTOME_VISUAL_PHOTOTRANSDUCTION	1.2611905	0.77914107	1.3481395	0.59100914
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	1.2518828	0.80816835	1.2441988	0.8130515
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	1.2511984	0.8044146	0.9603058	1.0
REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION	1.2495029	0.8045481	0.77834374	1.0
REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING	1.244315	0.81811273	0.544654	1.0
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL	1.2435187	0.8149089	0.6618618	1.0
REACTOME_G_PROTEIN_MEDIATED_EVENTS	1.2411332	0.8177023	1.4372522	0.44467786
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	1.2402539	0.814768	0.9561498	1.0
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS	1.2378101	0.81791514	-1.0871141	0.6196595
REACTOME_RUNX3_REGULATES_WNT_SIGNALING	1.237781	0.8119283	0.9718156	1.0
REACTOME_INTERACTION_WITH_CUMULUS_CELLS_AND_THE_ZONA_PELLUCIDA	1.2362188	0.81187385	1.2294599	0.815603
REACTOME_TIGHT_JUNCTION_INTERACTIONS	1.2342345	0.8132797	0.774307	1.0
REACTOME_MRNA_EDITING_C_TO_U_CONVERSION	1.2340816	0.8079131	1.0903993	0.9431526
REACTOME_RET_SIGNALING	1.2322408	0.8087824	0.98429036	1.0
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	1.2320695	0.8036197	-1.6026591	0.17526348
REACTOME_REGULATION_OF_CDH11_EXPRESSION_AND_FUNCTION	1.2319031	0.79849726	1.2521815	0.80765575
REACTOME_NGF_STIMULATED_TRANSCRIPTION	1.229341	0.8021534	-1.2083337	0.51026726
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	1.2290496	0.79752004	0.7902978	1.0
REACTOME_SIGNAL_REGULATORY_PROTEIN_FAMILY_INTERACTIONS	1.2281528	0.79512215	1.4090863	0.49082726
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	1.2270539	0.7935226	1.157135	0.8747955
REACTOME_REPRESSION_OF_WNT_TARGET_GENES	1.2261292	0.7913222	-0.46940205	1.0
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	1.220823	0.8047953	-0.93662053	0.77620435
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	1.2204239	0.8007441	1.1294426	0.892801
REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7	1.2198137	0.797554	-0.6512503	0.97047216
REACTOME_SYNTHESIS_OF_LIPOXINS_LX	1.2180871	0.7983384	1.1771623	0.8383998
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	1.21596	0.8006064	-0.9267556	0.7830494
REACTOME_SYNTHESIS_OF_15_EICOSATETRAENOIC_ACID_DERIVATIVES	1.2127701	0.8066837	1.1126925	0.92330444
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX	1.2037194	0.8336283	0.5688606	1.0
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	1.2036116	0.828613	0.9582862	1.0
REACTOME_MRNA_EDITING	1.2012557	0.8317439	1.1615973	0.8724991
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2	1.1988014	0.8352151	0.84002906	1.0
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	1.197689	0.83392453	1.2040393	0.80577666
REACTOME_PI_3K_CASCADE_FGFR3	1.1976713	0.8286651	-1.0214963	0.70167387
REACTOME_REGULATION_OF_INSULIN_SECRETION	1.1972609	0.8248486	1.0435109	1.0
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	1.1971917	0.81991625	-0.7783891	0.8968467
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1.1970054	0.8154615	1.0944791	0.938532
REACTOME_CD209_DC_SIGN_SIGNALING	1.1916096	0.8291699	1.3185749	0.65154266
REACTOME_LAMININ_INTERACTIONS	1.1915096	0.8243917	1.4035631	0.49185172
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	1.190758	0.82194144	0.6047039	1.0
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	1.1884786	0.8248326	0.6253538	1.0
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE	1.1854328	0.83037394	1.5600388	0.26767492
REACTOME_SYNTHESIS_OF_12_EICOSATETRAENOIC_ACID_DERIVATIVES	1.1795086	0.8459093	1.362432	0.5669322
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	1.1790466	0.84250057	1.4158865	0.47427994
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3	1.1789577	0.83779985	-0.5504788	1.0
REACTOME_METABOLISM_OF_LIPIDS	1.1781764	0.8354524	1.1919522	0.8109824
REACTOME_HDL_REMODELING	1.1691695	0.86200976	1.0111908	1.0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.1659788	0.8681566	1.7148525	0.07446755
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	1.162506	0.8753188	0.8499174	1.0
REACTOME_LGI_ADAM_INTERACTIONS	1.1614217	0.8740815	0.6197996	1.0
REACTOME_PD_1_SIGNALING	1.1588455	0.8781029	1.0078213	1.0
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING	1.1583592	0.87475836	-1.3078618	0.42325133
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION	1.1581025	0.8706691	0.8617811	1.0
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	1.1579146	0.86642146	0.6648163	1.0
REACTOME_RHOU_GTPASE_CYCLE	1.1539031	0.8755247	1.2009946	0.79847145
REACTOME_SENSORY_PERCEPTION_OF_TASTE	1.1532583	0.87285507	1.1209431	0.9033859
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	1.1523147	0.87125564	1.1552331	0.8710475
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	1.1448753	0.8924106	1.4975263	0.34785938
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	1.1414659	0.8994302	1.1460685	0.88382924
REACTOME_DEPOLYMERIZATION_OF_THE_NUCLEAR_LAMINA	1.1386242	0.9043884	1.0731878	0.97088736
REACTOME_ORGANIC_CATION_TRANSPORT	1.1384294	0.9001773	0.9790626	1.0
REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM	1.1375314	0.89845604	1.0108961	1.0
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT	1.1372421	0.89460814	0.96666706	1.0
REACTOME_FERTILIZATION	1.1370785	0.8903995	0.9968258	1.0
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	1.1368717	0.88633686	0.52545226	1.0
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	1.1342504	0.89058924	0.6831332	1.0
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	1.1324316	0.8922431	0.82419544	1.0
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	1.1301947	0.8951688	-1.1745	0.5387402
REACTOME_OPSINS	1.1297506	0.891963	-0.78264064	0.89490736
REACTOME_CARNITINE_METABOLISM	1.1285148	0.89159405	0.9899902	1.0
REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS	1.1281891	0.8880781	0.65499103	1.0
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	1.1238127	0.89826846	-0.95356953	0.7611208
REACTOME_GABA_RECEPTOR_ACTIVATION	1.1217104	0.9008305	1.3713032	0.54079014
REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION	1.1193365	0.90439504	-0.60581726	0.9875671
REACTOME_GABA_B_RECEPTOR_ACTIVATION	1.118171	0.90383	1.4012362	0.48584014
REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM	1.1171755	0.9026819	0.94314784	1.0
REACTOME_MITOTIC_PROMETAPHASE	1.1155958	0.90348285	-1.5321944	0.21271943
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	1.1136415	0.9057006	1.1295191	0.8959632
REACTOME_OPIOID_SIGNALLING	1.113188	0.9027449	1.2170428	0.7980256
REACTOME_MET_ACTIVATES_PI3K_AKT_SIGNALING	1.1101058	0.90864205	0.9306225	1.0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	1.1100571	0.9043487	1.2950442	0.6800557
REACTOME_NEURONAL_SYSTEM	1.1096302	0.90137094	1.2035698	0.80374146
REACTOME_IFNG_SIGNALING_ACTIVATES_MAPKS	1.1094052	0.89772356	0.93983614	1.0
REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR	1.1070231	0.9012928	-0.7687985	0.90205014
REACTOME_HISTIDINE_CATABOLISM	1.106372	0.8991114	1.3400592	0.6049378
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL	1.1024071	0.907863	1.141622	0.88982886
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	1.1003867	0.9102675	-0.44492945	0.9975051
REACTOME_NUCLEOTIDE_SALVAGE	1.0981017	0.91355234	1.2811675	0.7249334
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	1.0954175	0.91820127	1.0953524	0.9387302
REACTOME_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	1.095181	0.91467756	0.84438384	1.0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS	1.0945052	0.91259795	1.7036948	0.08374783
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	1.093591	0.9113708	1.5129272	0.3123902
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	1.0923939	0.9110683	1.0114261	1.0
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN	1.0910407	0.9114032	0.9876239	1.0
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	1.0898398	0.91125256	1.300414	0.66663784
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.0888515	0.91036886	0.7263413	1.0
REACTOME_MET_PROMOTES_CELL_MOTILITY	1.0853121	0.917831	1.5293816	0.32841322
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	1.0851793	0.9141402	1.0165111	1.0
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	1.0851166	0.91022056	0.51346666	1.0
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	1.0850672	0.906309	0.9677749	1.0
REACTOME_SIGNALING_BY_ALK	1.0829767	0.90901613	-0.4525316	0.9983683
REACTOME_RHOBTB3_ATPASE_CYCLE	1.0827116	0.90585417	-1.2535865	0.4628663
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE	1.0811788	0.9067642	-0.8918907	0.8102256
REACTOME_PROTEIN_REPAIR	1.0801535	0.90597785	1.2018114	0.8028381
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	1.0798415	0.90297586	0.72983444	1.0
REACTOME_RAC1_GTPASE_CYCLE	1.0786371	0.90289414	1.5159571	0.30807602
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	1.0754167	0.90920925	0.86883503	1.0
REACTOME_OAS_ANTIVIRAL_RESPONSE	1.0748633	0.9070447	-1.0094355	0.7140205
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING	1.0706956	0.9164244	-1.5810302	0.17956321
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	1.0697961	0.9153508	-1.7751809	0.058410313
REACTOME_MITOTIC_PROPHASE	1.0688772	0.9144452	0.80726653	1.0
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM	1.0686902	0.91117024	0.97247076	1.0
REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	1.0679065	0.9097712	1.2105246	0.80796146
REACTOME_CELL_JUNCTION_ORGANIZATION	1.066128	0.911628	1.2622757	0.7877764
REACTOME_SIGNALING_BY_FGFR1	1.0637456	0.9154086	-0.9006667	0.80187
REACTOME_SHC_MEDIATED_CASCADE_FGFR3	1.0622904	0.9161925	-1.0874501	0.62106615
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	1.0574585	0.92777467	0.8702185	1.0
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	1.0574566	0.9239329	0.9293713	1.0
REACTOME_MET_ACTIVATES_PTPN11	1.0561054	0.92438954	1.0027586	1.0
REACTOME_DARPP_32_EVENTS	1.0522207	0.93284976	0.8442519	1.0
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	1.0519953	0.9297333	0.91973823	1.0
